XML-ID,Wikidata_ID,Viaf ID,NHRP ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Country of co=itizenship,Occupation,Instance,Gender,Brief Description
peVO,Q84517016,40148806,,VICTOR,OTTMANN,VICTOR OTTMANN,1869,1944,1869-1944,,writer,human,male,"tysk forfatter, reiseskildrer og oversetter (Anker 2, 115; DBI 3. utg.)."
peTO,Q6031489,76682986,,THOMAS,OVERSKOU,THOMAS OVERSKOU,1798,1873,1798-1873,Denmark,actor,human,male,"dansk forfatter, sceneinstruktør og teaterhistoriker."
peLPal,Q377125,68905854,,[ADOLF ARNOLD] LOUIS,PALANDER,[ADOLF ARNOLD] LOUIS PALANDER,1842,1920,1842-1920,Sweden,naval officer,human,male,svensk polarforsker.
peFPa,Q1055843,24873539,,FILIPPO,PALIZZI,FILIPPO PALIZZI,1818,1899,1818-1899,Kingdom of Italy,painter,human,male,italiensk figur- og dyremaler.
pePaLu,Q15727314,22882480,,LUIGI,PALMA,LUIGI PALMA,1837,1899,1837-1899,Kingdom of Italy,professor,human,male,italiensk rettslærd.
pePLPa,Q369314,10641094,,PETER LUDVIG,PANUM,PETER LUDVIG PANUM,1820,1885,1820-1885,Denmark,university teacher,human,male,dansk fysiolog.
peSPa,Q4979526,227441467,pf01037045022180,SOFIE [MARIE],PARELIUS,SOFIE [MARIE] PARELIUS,1823,1902,1823-1902,Norway,actor,human,female,norsk skuespillerinne.
peEPas,,,,ELMIRE,PASSARGE,ELMIRE PASSARGE,,,,,,human,,tysk jurist- og forfatterhustru.
peLP,,,,LUDWIG/LOUIS,PASSARGE,LUDWIG/LOUIS PASSARGE,1825,1912,1825-1912,,,human,,tysk embetsmann og forfatter.
pePaula,,,,PAULA,,PAULA,,,,,,human,,ikke identifisert.
peEPa,Q921675,58306123,,EDE,PAULAY,EDE PAULAY,1836,1894,1836-1894,Hungary,actor,human,male,"ungarsk skuespiller, regissør og tetardirektør."
peJP,Q4585515,26734695,,JOHN [OLAF],PAULSEN,JOHN [OLAF] PAULSEN,1851,1924,1851-1924,Norway,writer,human,male,norsk forfatter.
peCPa,Q2014562,,pf01058304002294,CHRISTIAN [CORNELIUS],PAUS,CHRISTIAN [CORNELIUS] PAUS,1800,1879,1800-1879,Norway,judge,human,male,norsk embetsmann.
peCBP,Q5111962,,pd00000012451815,CHRISTOPHER BLOM,PAUS,CHRISTOPHER BLOM PAUS,1810,1898,1810-1898,Norway,ship-owner,human,male,norsk kjøpmann.
peHJPa,Q11975064,,pv00000002024484,HENRIK JOHAN,PAUS,HENRIK JOHAN PAUS,1799,1893,1799-1893,Norway,lawyer,human,male,norsk fogd.
peKPa,,,,LINA/KAROLINE (Johanne Caroline),PAUS,LINA/KAROLINE (Johanne Caroline) PAUS,1813,1902,1813-1902,,,human,,norsk rentenist.
peMPa,,,,MINE (Else Marie Rasmine Jørgine),PAUS,MINE (Else Marie Rasmine Jørgine) PAUS,1817,1914,1817-1914,,,human,,norsk kjøpmannshustru.
peGLP,,,,[GERHARD] LOUIS,PEDERSEN,[GERHARD] LOUIS PEDERSEN,1843,1932,1843-1932,,,human,,norsk skuespiller.
peTPe,Q6039339,154676225,,THOROLF,PEDERSEN,THOROLF PEDERSEN,1858,1942,1858-1942,Denmark,artist,human,male,dansk maler og teatermaler.
peGPe,Q1232089,2057726,,GYULA,PÉKAR,GYULA PÉKAR,1867,1937,1867-1937,Hungary,screenwriter,human,male,ungarsk forfatter og politiker.
peKP,Q1733655,69725671,,KARL [AUGUST FRANZ SALES],PERFALL,KARL [AUGUST FRANZ SALES] PERFALL,1824,1907,1824-1907,Germany,composer,human,male,"tysk jurist, komponist og teaterleder."
peNP,Q6042511,24426220,,NILS [EDVARD],PERSONNE,NILS [EDVARD] PERSONNE,1850,1928,1850-1928,Sweden,actor,human,male,"svensk skuespiller, regissør, oversetter og teaterhistoriker."
pePeter,,,,PETER,,PETER,,,,,,human,,ikke identifisert.
peWP,Q12010647,96581529,pf01037045021502,WILHELM [OTTO],PETERS,WILHELM [OTTO] PETERS,1851,1935,1851-1935,Norway,painter,human,male,"norsk maler, tegner, grafiker og dekorativ kunstner."
peCP,Q5131269,30590280,,[CHRISTOPHER MATHIAS] CLEMENS,PETERSEN,[CHRISTOPHER MATHIAS] CLEMENS PETERSEN,1834,1918,1834-1918,Denmark,literary critic,human,male,dansk litteraturkritiker.
peFrPet,Q4585168,235488382,pf01037045149043,FREDRIK,PETERSEN,FREDRIK PETERSEN,1839,1903,1839-1903,Norway,priest,human,male,norsk teolog.
peJPe,Q97538735,,,[FREDERIK] JULIUS,PETERSEN,[FREDERIK] JULIUS PETERSEN,1844,1917,1844-1917,,actor,human,male,dansk skuespiller og teaterdirektør.
peNMP,Q352777,445091,,NIELS MATTHIAS,PETERSEN,NIELS MATTHIAS PETERSEN,1791,1862,1791-1862,Denmark,historian,human,male,dansk filolog og historiker.
peOP,,,,[THEODOR] OTTO [ELIOT],PETERSEN,[THEODOR] OTTO [ELIOT] PETERSEN,1862,1945,1862-1945,,,human,,"dansk impresario, skuespiller og teaterdirektør."
pePPe,Q7174877,,,PETER [JOHAN KAY],PETERSEN,PETER [JOHAN KAY] PETERSEN,1821,1896,1821-1896,Norway,businessperson,human,male,norsk forretningsmann.
pePPet,Q24228929,,pf01052055034285,PETER,PETERSEN,PETER PETERSEN,1835,1894,1835-1894,Norway,photographer,human,male,dansk-norsk fotograf.
peRP,Q28358002,59145970351532252809,,RICHARD,PETERSEN,RICHARD PETERSEN,1821,1908,1821-1908,Norway,civil servant,human,male,norsk embetsmann.
peSiP,Q6044800,56338495,,[PETER] SIEGWART [BLUMENTHAL],PETERSEN,[PETER] SIEGWART [BLUMENTHAL] PETERSEN,1826,1878,1826-1878,Norway,historian,human,male,"norsk skolemann (Anker 2, 34)."
peSP,,,,SOPHIE,PETERSEN,SOPHIE PETERSEN,1838,1925,1838-1925,,,human,,norsk kjøpmannshustru.
peVVP,Q2069221,,,VILHELM [VALDEMAR],PETERSEN,VILHELM [VALDEMAR] PETERSEN,1830,1913,1830-1913,Denmark,architect,human,male,dansk arkitekt.
peWPe,Q97920117,,,WILLIAM [ANDREAS],PETERSEN,WILLIAM [ANDREAS] PETERSEN,1862,1942,1862-1942,Denmark,actor,human,male,dansk skuespiller og teaterdirektør.
peHGP,,,,HENRIK GEORG,PETERSEN[-GADE],HENRIK GEORG PETERSEN[-GADE],1853,1922,1853-1922,,,human,,norsk-amerikansk lege.
peEP,Q739176,64749933,pf01036373008105,[HJALMAR] EILIF [EMANUEL],PETERSSEN,[HJALMAR] EILIF [EMANUEL] PETERSSEN,1852,1928,1852-1928,Norway,painter,human,male,norsk maler.
peMaP,,,,MAGDA (Frederikke Magdalene),PETERSSEN,MAGDA (Frederikke Magdalene) PETERSSEN,1855,1931,1855-1931,,,human,,norsk malerhustru.
peLPe,,,,LILLI,PETRI,LILLI PETRI,1864,1915,1864-1915,,,human,,tysk skuespillerinne.
peFvP,,,,FRIEDRICH,PFEUFER,FRIEDRICH PFEUFER,,,,,,human,,tysk offiser.
pePf,,,,fru,PFEUFER,fru PFEUFER,,,,,,human,,tysk offisershustru.
pePfe,,,,frøken von,PFEUFFER,frøken von PFEUFFER,,,,,,human,,"ikke identifisert, jf. kommentar til brevet."
peph,,,,,,P.H.,,,,,,human,,ikke identifisert.
peFP,Q1403729,10590744,,FELIX,PHILIPPI,FELIX PHILIPPI,1851,1921,1851-1921,Germany,writer,human,male,tysk forfatter og regissør.
peGPh,Q18592621,313473207,,GUSTAV,PHILIPSEN,GUSTAV PHILIPSEN,1853,1925,1853-1925,Denmark,politician,human,male,dansk bokhandler og politiker.
pePGP,Q17341826,316528846,,PHILIP GERSON,PHILIPSEN,PHILIP GERSON PHILIPSEN,1812,1877,1812-1877,Denmark,publisher,human,male,dansk bokhandler og forlegger.
pePJP,,234149294278780521386,,POVEL [JOHANNES] (Johansen),PHØNIXBERG,POVEL [JOHANNES] (Johansen) PHØNIXBERG,1679,1729,1679-1729,,,human,,"dansk viseforfatter, journalist og boktrykker."
peAuPi,Q769588,39418525,,AUGUSTO,PIERANTONI,AUGUSTO PIERANTONI,1840,1911,1840-1911,Kingdom of Italy,lawyer,human,male,italiensk rettslærd.
peAP,,,,"prinsesse, f. Adelaide Nathan David",PIGNATELLI,"prinsesse, f. Adelaide Nathan David PIGNATELLI",1796,1891,1796-1891,,,human,,
peKvP,Q505758,50018904,,KARL [THEODOR] VON,PILOTY,KARL [THEODOR] VON PILOTY,1826,1886,1826-1886,Kingdom of Bavaria,teacher,human,male,tysk historiemaler.
peVP,Q6050039,310508810,,[JOHAN] VICTORINUS,PINGEL,[JOHAN] VICTORINUS PINGEL,1834,1919,1834-1919,Denmark,geologist,human,male,"dansk filolog, geolog og politiker."
peCEP,Q5040087,837154983526267860009,,CARL EDWARD WILHELM,PIPER,CARL EDWARD WILHELM PIPER,1820,1891,1820-1891,Sweden,diplomat,human,male,svensk envoyé.
peBaP,Q77915,40279033,,BALTZAR [BOGISLAUS] VON,PLATEN,BALTZAR [BOGISLAUS] VON PLATEN,1766,1829,1766-1829,Sweden,politician,human,male,svensk offiser og greve.
peCPP,Q347860,25386264,,CARL [PARMO],PLOUG,CARL [PARMO] PLOUG,1813,1894,1813-1894,Denmark,writer,human,male,"dansk forfatter, journalist og politiker."
peJCPo,Q1381036,57361799,,JOSEPH [CALASANZ KARL],POESTION,JOSEPH [CALASANZ KARL] POESTION,1853,1922,1853-1922,Austria,librarian,human,male,"østerriksk bibliotekar, skandinavist og oversetter."
peBPo,Q4370318,54895488,,BERNHARD (eg. Baruch Pohl),POLLINI,BERNHARD (eg. Baruch Pohl) POLLINI,1838,1897,1838-1897,Germany,opera singer,human,male,"tysk sanger, teater- og operadirektør."
peHPont,Q225554,32009973,,HENRIK,PONTOPPIDAN,HENRIK PONTOPPIDAN,1857,1943,1857-1943,Denmark,writer,human,male,dansk forfatter.
peAPo,Q55844273,3212210,,ANNA,POSSART,ANNA POSSART,1875,1946,1875-1946,,opera singer,human,female,tysk sangerinne.
peACP,Q4766951,78999232,,ANNA CAROLINE,POSSART,ANNA CAROLINE POSSART,1843,1919,1843-1919,Germany,singer,human,female,tysk sangerinne.
peEPos,Q214930,13103646,,ERNST [HEINRICH],POSSART,ERNST [HEINRICH] POSSART,1841,1921,1841-1921,Germany,actor,human,male,"tysk skuespiller, regissør og intendant."
peEPo,Q6055045,230542511,,[CHRISTIAN] EMIL,POULSEN,[CHRISTIAN] EMIL POULSEN,1842,1911,1842-1911,Denmark,actor,human,male,dansk skuespiller og sceneinstruktør.
