XML_ID,Wikidata_ID,Viaf_ID,NHRP_ID,Given_Name,Surname,Name,Year_of_Birth,Year_of_Death,Lifespan,Instance,Gender,Country_of_citizenship,Occupation,Letters_Received,Times_Mentioned,Brief_Description,Spouses_Name,Spouses_ID
peMA,Q468252,67333216,,MICHAEL [PETER],ANCHER,MICHAEL [PETER] ANCHER,1849,1927,1849-1927,human,male,Denmark,painter,1,1,dansk maler.,,
peAFA,,,,ANNE FREDRIKKE,ANDERSEN,ANNE FREDRIKKE ANDERSEN,1828,1895,1828-1895,human,female,,married to,0,2,"norsk ingeniørhustru, mor til Hildur Andersen. ",OLUF MARTIN ANDERSEN,peOMA
peAAn,Q5553174,167082457,,AXEL,ANDERSEN,AXEL ANDERSEN,1846,1913,1846-1913,human,male,Norway,"author, philologist, pedagog",1,0,"norsk filolog, pedagog og dogmehistorisk forfatter.",,
peCCTA,Q15873738,47597627,,CARL [CHRISTIAN THORVALD],ANDERSEN,CARL [CHRISTIAN THORVALD] ANDERSEN,1828,1883,1828-1883,human,male,Denmark,author,0,1,dansk forfatter.,,
peHCA,Q5673,4925902,,HANS CHRISTIAN,ANDERSEN,HANS CHRISTIAN ANDERSEN,1805,1875,1805-1875,human,male,Denmark,author,1,4,dansk forfatter.,,
peHA,Q11975364,220149066602865601964,pf01036392084110,HILDUR,ANDERSEN,HILDUR ANDERSEN,1864,1956,1864-1956,human,female,Norway,"pianist, pedagog, music teacher",6,6,norsk pianistinne og musikkpedagog.,,
peMatA,,,,MATHILDE,ANDERSEN,MATHILDE ANDERSEN,,,,human,male,,,0,1,ikke identifisert.,,
peOMA,,17162721026861090800,,OLUF MARTIN,ANDERSEN,OLUF MARTIN ANDERSEN,1826,1908,1826-1908,human,male,Norway,"engineer, fire captain, civil engineer",3,2,norsk stadsingeniør og brannsjef.,ANNE FREDRIKKE ANDERSEN,peAFA
peTAn,Q5553363,69678408,,THEODOR [VILHELM JACOB],ANDERSEN,THEODOR [VILHELM JACOB] ANDERSEN,1835,1909,1835-1909,human,male,Denmark,"actor, theatre director",3,8,dansk skuespiller og teaterdirektør.,,
peVA,,,,VALBORG,ANDERSEN,VALBORG ANDERSEN,1857,1937,1857-1937,human,female,Norway,teacher,0,2,norsk lærerinne.,,
peRBA,Q3436547,22924736,,RASMUS BJØRN,ANDERSON,RASMUS BJØRN ANDERSON,1846,1936,1846-1936,human,male,"Norway, United States of America",author,1,2,norsk-amerikansk forfatter.,,
peJAn,Q16023190,,,JUSTUS [HENRIK],ANDERSSEN,JUSTUS [HENRIK] ANDERSSEN,1867,1938,1867-1938,human,male,Norway,doctor,1,0,norsk lege.,,
peLAS,Q38873,39372916,,LOU,ANDREAS-SALOMÉ,LOU ANDREAS-SALOMÉ,1861,1937,1861-1937,human,female,Germany,author,1,0,tysk forfatterinne.,FRIEDRICH CARL ANDREAS,noID
peJPA,Q62604189,,,JENS PETER,ANDRESEN,JENS PETER ANDRESEN,1818,1871,1818-1871,human,male,Norway,lawyer,3,1,norsk advokat.,,
peCJA,Q5557366,230251299,pf01037988000198,CARL JOHAN,ANKER,CARL JOHAN ANKER,1835,1903,1835-1903,human,male,Norway,military officer,1,0,norsk offiser.,,
peAnAn,Q17352679,45051237,,ANTON,ANNO,ANTON ANNO,1838,1893,1838-1893,human,male,Germany,actor,0,2,tysk skuespiller.,,
peAA,Q529001,2532045,,ANDRÉ,ANTOINE,ANDRÉ ANTOINE,1858,1943,1858-1943,human,male,France,"actor, director, theatre director, film director, critic",2,0,"fransk skuespiller, teaterdirektør, kritiker og filmregissør.",,
pePA,Q95757498,165145542658096642024,,PAUL,APFELSTEDT,PAUL APFELSTEDT,,,,human,male,Germany,collector of autographs,1,0,tysk autografsamler.,,
peAEAr,Q33113944,,pf01036392045344,ANNA ELIZA,ARBO,ANNA ELIZA ARBO,1854,1921,1854-1921,human,female,,married to,0,2,norsk malerhustru.,PETER NICOLAI ARBO,pePNA
pePNA,Q353014,30936931,pf01052721045917,PETER NICOLAI,ARBO,PETER NICOLAI ARBO,1831,1892,1831-1892,human,male,Norway,painter,6,3,norsk maler.,,
peFrAr,,222299029,,FRANCES [ELIZABETH],ARCHER,FRANCES [ELIZABETH] ARCHER,1855,1929,1855-1929,human,female,,married to,0,10,britisk kritikerhustru.,WILLIAM ARCHER,peWA
peWA,Q1382278,2509112,,WILLIAM,ARCHER,WILLIAM ARCHER,1856,1924,1856-1924,human,male,United Kingdom of Great Britain and Ireland,"journalist, critic",20,13,britisk teaterkritiker og journalist.,,
peSArc,Q1777383,226121847,pf01036392093920,SOFUS [ANTON BIRGER],ARCTANDER,SOFUS [ANTON BIRGER] ARCTANDER,1845,1924,1845-1924,human,male,Norway,"politician, civil servant",0,4,norsk politiker og embetsmann.,,
peArius,Q106026,12404999,,,,ARIUS,0250,0336,0250-0336,human,male,,vicar,0,1,aleksandrinsk presbyter (prest).,,
peRA,Q94660459,69855191,,RICHARD ACLAND,ARMSTRONG,RICHARD ACLAND ARMSTRONG,1843,1905,1843-1905,human,male,England,vicar,1,0,engelsk unitarprest.,,
peWAA,Q694665,,,[WILLIBALD] ARNO VON,ARNDT,[WILLIBALD] ARNO VON ARNDT,1835,1902,1835-1902,human,male,Germany,military officer,0,1,tysk offiser.,KATHARINA (RINI) ELISABETH CHARLOTTE LINZ,noID
peKLAr,Q90179,27411763,,KARL LUDWIG (ARNDTS VON ARNESBERG),ARNDTS,KARL LUDWIG (ARNDTS VON ARNESBERG) ARNDTS,1803,1878,1803-1878,human,male,Germany,jurist,0,1,tysk rettslærd.,,
peAAr,Q5560073,,,AUGUST [FREDRIK],ARPPE,AUGUST [FREDRIK] ARPPE,1854,1925,1854-1925,human,male,,"actor, theatre director",1,0,finsk skuespiller og teaterdirektør.,,
peAArs,Q16168148,161623600,,AKSEL [KRISTIAN ANDERSEN],ARSTAL,AKSEL [KRISTIAN ANDERSEN] ARSTAL,1855,1940,1855-1940,human,male,Norway,"geographer, teacher",2,2,norsk geograf og skolemann.,,
peHArs,,,,HENNY [HENRIETTE WILHELMINE],ARSTAL,HENNY [HENRIETTE WILHELMINE] ARSTAL,1872,1931,1872-1931,human,female,,married to,2,0,norsk geografhustru.,AKSEL [KRISTIAN ANDERSEN] ARSTAL,peAArs
peOAr,Q1779346,222636283,pf01036398000664,OLAUS (OLE),ARVESEN,OLAUS (OLE) ARVESEN,1830,1917,1830-1917,human,male,Norway,"politician, journalist, teacher",0,2,"norsk journalist, skolemann og politiker.",,
peSMA,,,,SOPHIE MARIE,ARVESEN,SOPHIE MARIE ARVESEN,1842,1905,1842-1905,human,female,,married to,0,1,norsk skolestyrerhustru.,OLAUS (OLE) ARVESEN,peOAr
pePCA,Q355485,116587918,pf01038011000661,PETER CHRISTEN,ASBJØRNSEN,PETER CHRISTEN ASBJØRNSEN,1812,1885,1812-1885,human,male,Norway,"scientist, fairytale collector",0,6,norsk eventyrsamler og naturforsker.,,
peThAs,Q180332,42714751,pf01053257028317,TORKEL HALVORSEN,ASCHEHOUG,TORKEL HALVORSEN ASCHEHOUG,1822,1909,1822-1909,human,male,Norway,"lawyer, politician, historian, economist",0,1,"norsk jurist, økonom, historiker og politiker.",,
peJaHAs,Q42553578,,,JACOB [HVEDING],ASMUNDSEN,JACOB [HVEDING] ASMUNDSEN,1841,1910,1841-1910,human,male,Norway,"actor, director, theatre manager",2,1,"norsk skuespiller, regissør og teaterleder.",,
peHRA,Q1809560,161079966,,HANS RASMUS,ASTRUP,HANS RASMUS ASTRUP,1831,1898,1831-1898,human,male,Norway,"politician, businessman",0,2,norsk forretningsmann og politiker.,,
peLA,Q69971426,304313939,,[EUPHRASIE HÉLOISE] LYDIE,AUBERNON DE NERVILLE,[EUPHRASIE HÉLOISE] LYDIE AUBERNON DE NERVILLE,1825,1899,1825-1899,human,female,France,"salonnière, littérateur",1,0,fransk salongvertinne og litterat.,GEORGES AUBERNON,noID
peAAu,Q1777870,77065635,pf01036372005270,[FREDRIK LUDVIG] ANDREAS [VIBE],AUBERT,[FREDRIK LUDVIG] ANDREAS [VIBE] AUBERT,1851,1913,1851-1913,human,male,Norway,"art historian, historian",3,4,norsk kunsthistoriker.,,
peEA,Q4936944,16834995,pf01052055051821,ELISE [SOFIE],AUBERT,ELISE [SOFIE] AUBERT,1837,1909,1837-1909,human,female,Norway,author,3,1,norsk forfatterinne.,LUDVIG [MARIBO BENJAMIN] AUBERT,peLMBA
peLMBA,Q3436836,67215562,pf01053257053350,LUDVIG [MARIBO BENJAMIN],AUBERT,LUDVIG [MARIBO BENJAMIN] AUBERT,1838,1896,1838-1896,human,male,Norway,"lawyer, politician",1,1,norsk jurist og politiker.,ELISE [SOFIE] AUBERT,peEA
peAug,,,,AUGUSTA/GUSTA,,AUGUSTA/GUSTA,,,,human,male,,maid,0,2,"tjenestepike hos Ibsen, ikke identifisert, jf. kommentar til brev til Su. Ibsen 11. desember 1894.",,
peOAB,Q456147,305130156,pf01052055015427,OLE ANDREAS,BACHKE,OLE ANDREAS BACHKE,1830,1890,1830-1890,human,male,Norway,"lawyer, politician",2,4,norsk jurist og politiker.,,
peHaBa,Q263025,8199706,pf01036392016581,HARRIET,BACKER,HARRIET BACKER,1845,1932,1845-1932,human,female,Norway,painter,0,1,norsk malerinne.,,
peWBa,,,,WALTHER,BACMEISTER,WALTHER BACMEISTER,,,,human,male,Germany,high school student,1,0,tysk gymnasiast.,,
peFBa,,,,FREDERIK [AUGUST WILHELM],BAGGE,FREDERIK [AUGUST WILHELM] BAGGE,1861,1928,1861-1928,human,male,Denmark,book printer,0,3,dansk boktrykker.,,
peMaBa,Q6874729,96407812,,MAGNUS [THULSTRUP],BAGGE,MAGNUS [THULSTRUP] BAGGE,1825,1894,1825-1894,human,male,Norway,painter,0,1,norsk maler.,,
pePeBa,Q5564004,71366779,,PETER [FREDRIK LEO],BAGGE,PETER [FREDRIK LEO] BAGGE,1850,1926,1850-1926,human,male,Sweden,teacher,1,0,svensk skolemann.,,
peCTB,,4858998,,CARL [THOLSTRUP],BAHNSON,CARL [THOLSTRUP] BAHNSON,1845,1917,1845-1917,human,male,Denmark,"author, vicar",0,1,dansk prest og forfatter.,,
peHeBa,Q94034,36939191,,HERMANN,BAHR,HERMANN BAHR,1863,1934,1863-1934,human,male,Austria,author,4,0,østerriksk forfatter.,,
peABan,,53149196501474792014,,ALBERT [THEODOR FREDERIK NICOLAI REICHWEIN HUITFELDT],BANG,ALBERT [THEODOR FREDERIK NICOLAI REICHWEIN HUITFELDT] BANG,1831,1892,1831-1892,human,male,Norway,military officer,0,1,norsk offiser.,,
peACB,Q3356252,34597270,pf01036392309060,ANTON CHRISTIAN,BANG,ANTON CHRISTIAN BANG,1840,1913,1840-1913,human,male,Norway,"bishop, historian, minister, church historian",0,2,"norsk biskop, statsråd og kirkehistoriker.",,
peFSB,,,,FREDERIK SIEGFRED,BANG,FREDERIK SIEGFRED BANG,1810,1889,1810-1889,human,male,Denmark,art collector,0,1,dansk kunstsamler.,,
peHBa,Q439370,34476645,,HERMAN [JOACHIM],BANG,HERMAN [JOACHIM] BANG,1857,1912,1857-1912,human,male,Denmark,author,5,2,dansk forfatter.,,
peIB,Q5565266,8168425,,IVAR [CHRISTIAN],BANG,IVAR [CHRISTIAN] BANG,1869,1918,1869-1918,human,male,"Norway, Sweden","professor, doctor",1,0,norsk-svensk lege og professor.,,
peABa,,,,ANDREA,BARBARO,ANDREA BARBARO,,,,human,male,Italy,hotelier,1,0,italiensk hotellvert.,,
peMBa,,,,MARIETTA,BARBARO,MARIETTA BARBARO,,,,human,female,Italy,hotelier,1,1,"italiensk hotellvertinne. Gift med Andrea Bararo, vert i Alergo della Luna, Amalfi, der Isen fullførte Et dukkehjem juli-septemer 1879 (Anker 2, 137). ",,
peEBa,Q94748404,66504164,,EMILIE,BARDACH,EMILIE BARDACH,1862,1955,1862-1955,human,female,Austria,merchant,13,0,østerriksk kjøpmannsdatter.,,
peMiBa,,,,MINNA,BARDACH,MINNA BARDACH,,,,human,female,,married to,0,4,"østerriksk kjøpmannshustru, mor til Emilie Bardach (Figueiredo 2007, 615). ",,
peSiBa,,,,SIGMUND,BARDACH,SIGMUND BARDACH,,1890,-1890,human,male,Austria,merchant,0,1,"østerriksk kjøpmann, far til Emilie Bardach. ",,
peAGB,Q5566027,,,ADOLF [GABRIEL],BARNEKOW,ADOLF [GABRIEL] BARNEKOW,1838,1924,1838-1924,"human, Count",male,Sweden,Count,0,1,svensk greve.,,
peVBa,Q3557146,39484051,,VICTOR,BARRUCAND,VICTOR BARRUCAND,1864,1934,1864-1934,human,male,France,"author, journalist",2,0,fransk forfatter og journalist.,,
peBas,Q44258,564159234692903372375,,,,BASILEIOS DEN STORE,0330,0379,0330-0379,human,male,Greece,,0,1,gresk kirkeleder.,,
peBasAnc,,,,,,BASILEIOS AV ANCYRA,,0364,-0364,human,male,,bishop,0,1,østromersk biskop.,,
peFrBa,Q13515,2466087,,FRÉDÉRIC,BASTIAT,FRÉDÉRIC BASTIAT,1801,1850,1801-1850,human,male,France,economist,0,1,fransk nasjonaløkonom.,,
peCBa,,,,C.,BAUER,C. BAUER,,,,human,female,Germany,landlord,0,2,tysk husvertinne.,,
peHBau,Q1125847,43603637,,HENRY [FRANCIS],BAUËR,HENRY [FRANCIS] BAUËR,1851,1915,1851-1915,human,male,France,"journalist, playwright, critic",0,1,"fransk journalist, kritiker og dramatiker.",,
peCBe,Q5568907,61288062,,CARL [JOHAN],BEHRENS,CARL [JOHAN] BEHRENS,1867,1946,1867-1946,human,male,Denmark,"author, journalist",1,1,dansk forfatter og journalist.,,
peBell,,,,J. LAMBERT,BELLEFROID,J. LAMBERT BELLEFROID,1814,1890,1814-1890,human,male,,civil servant,0,1,belgisk medisiner og embetsmann.,,
peBEB,Q2854546,28117320,,BENDIX EDVARD [REUTZ],BENDIXEN,BENDIX EDVARD [REUTZ] BENDIXEN,1838,1918,1838-1918,human,male,Norway,"teacher, archaeologist",14,4,norsk skolemann og arkeolog.,,
peCMBe,,,,CHRISTINE MARIE,BENDIXEN,CHRISTINE MARIE BENDIXEN,1858,1892,1858-1892,human,female,,married to,0,1,norsk arkeologhustru.,BENDIX EDVARD [REUTZ] BENDIXEN,peBEB
peGuB,,,,GIUSEPPE,BENEDETTINI,GIUSEPPE BENEDETTINI,,,,human,male,Italy,,0,5,italiensk oppsynsmann og bud.,,
peVBe,Q273950,95228001,,VICTORIA [MARIA],BENEDICTSSON,VICTORIA [MARIA] BENEDICTSSON,1850,1888,1850-1888,human,female,Sweden,author,0,1,svensk forfatterinne.,,
peOBen,Q5570805,20469753,,[JOSEF] OSCAR,BENSOW,[JOSEF] OSCAR BENSOW,1870,1936,1870-1936,human,male,Sweden,theologian,1,0,svensk teolog.,,
peOBe,Q4585090,64270480,,[CARL] OTTO [VALDEMAR],BENZON,[CARL] OTTO [VALDEMAR] BENZON,1856,1927,1856-1927,human,male,Denmark,author,1,1,dansk apoteker og forfatter.,,
peChristen,Q321538,171923777,,CHRESTEN [POULSEN] (Christen),BERG,CHRESTEN [POULSEN] (Christen) BERG,1829,1891,1829-1891,human,male,Denmark,politician,0,1,dansk politiker.,,
peKBe,Q3058231,310509058,,KAARLO [JOHAN] (Juhani),BERGBOM,KAARLO [JOHAN] (Juhani) BERGBOM,1843,1906,1843-1906,human,male,,theatre director,6,1,finsk teaterdirektør.,,
peABer,Q88890,29617410,,ALFRED Freiherr von,BERGER,ALFRED Freiherr von BERGER,1853,1912,1853-1912,human,male,Austria,"author, theatre director",1,0,østerriksk teaterdirektør og forfatter.,,
peBKB,Q11960795,,,BERNHARD KONRAD,BERGERSEN,BERNHARD KONRAD BERGERSEN,1847,1927,1847-1927,human,male,Norway,"judge, advocate",0,1,norsk sakfører og dommer.,,
peJoBe,Q5572082,223473003,,JOHANNES,BERGH,JOHANNES BERGH,1837,1906,1837-1906,human,male,Norway,lawyer,0,1,norsk advokat.,,
peLB,Q5572130,153148995770759750892,pf01065522044906,[HAAKON] LUDVIG,BERGH,[HAAKON] LUDVIG BERGH,1865,1924,1865-1924,human,male,Norway,"actor, author, singer, stage director, director",1,0,"norsk skuespiller, sceneinstruktør, teatersjef, sanger og forfatter.",,
peBrBer,Q725227,96581282,pf01053257036948,BRYNJULF [LARSEN],BERGSLIEN,BRYNJULF [LARSEN] BERGSLIEN,1830,1898,1830-1898,human,male,Norway,sculptor,0,2,norsk billedhugger.,,
peKBer,Q983663,77388048,pf01037045004673,KNUD [LARSEN],BERGSLIEN,KNUD [LARSEN] BERGSLIEN,1827,1908,1827-1908,human,male,Norway,painter,0,1,norsk maler.,,
peCMHB,Q11963867,203053294,,CLARA [MATHILDE HENRIETTE],BERGSØE,CLARA [MATHILDE HENRIETTE] BERGSØE,1837,1905,1837-1905,human,female,Denmark,author,0,7,dansk forfatterinne (OneTree Genealogy 2004-05).,,
peJFBerg,Q12319888,171810355,,JOHAN FREDERIK,BERGSØE,JOHAN FREDERIK BERGSØE,1841,1897,1841-1897,human,male,Denmark,"author, painter",0,6,dansk forfatter og maler.,,
peVB,Q715868,27203347,,[JØRGEN] VILHELM,BERGSØE,[JØRGEN] VILHELM BERGSØE,1835,1911,1835-1911,human,male,Denmark,"author, zoologist",1,18,dansk forfatter og zoolog.,,
peBJC,Q1037035,391149066548065601332,,[JOHAN] CARL [ERNST],BERLING,[JOHAN] CARL [ERNST] BERLING,1812,1871,1812-1871,human,male,Denmark,"civil servant, book printer",1,0,dansk boktrykker og hoffembetsmann.,,
peGBe,Q19798589,,,[FREUND JAKOB] GOTTLOB,BERNER,[FREUND JAKOB] GOTTLOB BERNER,1823,1914,1823-1914,human,male,Denmark,civil servant,3,12,dansk teaterembetsmann.,,
peHEB,Q955114,3658329,pf01036392063043,HAGBARD EMANUEL,BERNER,HAGBARD EMANUEL BERNER,1839,1920,1839-1920,human,male,Norway,"politician, civil servant",3,5,norsk politiker og embetsmann.,,
peBern,Q61104,57396349,,,,BERNHARD,1851,1928,1851-1928,"human, Prince",male,,Prince,0,1,arveprins av Sachsen-Meiningen.,CHARLOTTE,peCharlotte
peCaBe,Q499784,49952262,,CARL,BERNHARD,CARL BERNHARD,1798,1865,1798-1865,human,male,Denmark,"author, novelist",0,1,dansk romanforfatter.,,
peSB,Q4605,68925417,,SARAH,BERNHARDT,SARAH BERNHARDT,1844,1923,1844-1923,human,female,France,actor,0,1,fransk skuespillerinne.,,
peTCB,,72148995771859750903,,THEODOR CHRISTIAN,BERNHOFT,THEODOR CHRISTIAN BERNHOFT,1833,1885,1833-1885,human,male,Norway,vicar,0,1,norsk prest.,,
peGLB,Q160538,73850000,,GIOVANNI LORENZO,BERNINI,GIOVANNI LORENZO BERNINI,1598,1680,1598-1680,human,male,Italy,"sculptor, painter, architect",0,1,"italiensk billedhugger, arkitekt og maler.",,
peEBe,Q107883,117272891,,ELSA,BERNSTEIN,ELSA BERNSTEIN,1866,1949,1866-1949,human,female,Germany,author,1,0,tysk forfatterinne.,MAX (MAXIMILIAN ERNST) BERNSTEIN,peMBe
peMBe,Q86731,42644082,,MAX (MAXIMILIAN ERNST),BERNSTEIN,MAX (MAXIMILIAN ERNST) BERNSTEIN,1854,1925,1854-1925,human,male,Germany,"author, lawyer",3,1,tysk advokat og forfatter.,ELSA BERNSTEIN,peEBe
peCaB,Q991570,204529063,,CARL,BERTRAND,CARL BERTRAND,1816,1895,1816-1895,human,male,Germany,"translator, doctor",1,0,tysk lege og oversetter.,,
peRaBe,,,,RAGNHILD,BERVEN,RAGNHILD BERVEN,1863,1946,1863-1946,human,female,Norway,singer,0,1,norsk sangerinne (F 1900;,,
peOBet,Q15435800,69291798,,OTTOMAR,BETA,OTTOMAR BETA,1845,1913,1845-1913,human,male,Germany,"author, journalist",1,0,"tysk naturviter, journalist og forfatter.",,
peMBey,Q17119538,,,MORTEN,BEYER,MORTEN BEYER,1822,1880,1822-1880,human,male,Norway,"judge, claims adjuster",0,1,norsk dispasjør og dommer.,,
peGvB,Q95687788,5675267,,GABRIELE VON,BIBRA,GABRIELE VON BIBRA,1853,,1853-,human,female,"Austria, Czechoslovakia",,1,0,tsjekkisk-østerriksk.,,
peJBiden,Q5575510,29928871,,JOHAN LAURITZ,BIDENKAP,JOHAN LAURITZ BIDENKAP,1828,1892,1828-1892,human,male,Norway,doctor,0,1,norsk lege.,,
peHJB,,,,HENNING JUNGHANS,BIE,HENNING JUNGHANS BIE,1813,1889,1813-1889,human,male,Norway,"bailiff, sailing ship captain, master ship pilot, harbourmaster",0,1,"norsk seilskutekaptein, losoldermann og havnefogd.",CLARA (Marthe Clarine) EBBELL,peCE
peCdBdC,Q23765906,51870160,,CHARLES DE,BIGAULT DE CASANOVE,CHARLES DE BIGAULT DE CASANOVE,1847,1910,1847-1910,human,male,France,"translator, teacher",1,0,fransk lærer og oversetter.,,
peHjBi,,,,HJALMAR,BIGLER,HJALMAR BIGLER,1860,,1860-,human,male,Denmark,bookseller,0,1,dansk bokhandler.,,
peCSAB,Q5576010,58629835,,CARL STEEN ANDERSEN,BILLE,CARL STEEN ANDERSEN BILLE,1828,1898,1828-1898,human,male,Denmark,"politician, newspaperman",0,4,dansk avismann og politiker.,,
peLoBi,,,,LOUISE [MOGENSINE],BILLE,LOUISE [MOGENSINE] BILLE,1841,1926,1841-1926,human,female,,married to,0,1,dansk redaktør- og politikerhustru.,,
peJBi,Q1777802,71301870,pf01036708000069,JUST [JOHAN],BING,JUST [JOHAN] BING,1866,1954,1866-1954,human,male,Norway,"archivist, historian, state archivist",1,0,norsk statsarkivar og historiker.,,
peSBi,Q66112,32839322,,SAMUEL (eg. Siegfried),BING,SAMUEL (eg. Siegfried) BING,1838,1905,1838-1905,human,male,"Germany, France","art dealer, art collector",0,1,tysk-fransk kunstsamler og kunstforhandler.,,
peESJB,,353149294145280521082,,ELSE SOPHIE JENSDATTER,BIRKEDALEN,ELSE SOPHIE JENSDATTER BIRKEDALEN,1818,1892,1818-1892,human,male,Norway,maid,0,1,norsk tjenestepike.,,
peHJHB,,,,HANS JACOB HENDRICHSSEN (Henriksen),BIRKEDALEN,HANS JACOB HENDRICHSSEN (Henriksen) BIRKEDALEN,1846,1916,1846-1916,human,male,Norway,,0,1,norsk smed.,,
peMBi,,,,MARIE,BIRKELAND,MARIE BIRKELAND,1831,1919,1831-1919,human,female,,married to,1,5,norsk embetsmannshustru.,MICHAEL BIRKELAND,peMB
peMB,Q449180,51592717,pf01052721005671,MICHAEL,BIRKELAND,MICHAEL BIRKELAND,1830,1896,1830-1896,human,male,Norway,"politician, archivist, historian",12,4,"norsk riksarkivar, historiker og politiker.",,
peHBi,,,,HANS,BIRKREM,HANS BIRKREM,1821,1872,1821-1872,human,male,Norway,teacher,0,1,norsk lærer.,,
peOvB,Q8442,46772111,,OTTO [FÜRST] VON,BISMARCK,OTTO [FÜRST] VON BISMARCK,1815,1898,1815-1898,human,male,Germany,politician,0,2,tysk politiker.,,
peCGVBi,Q3364664,96295775,,[CHRISTIAN GOTTLIEB] VILHELM,BISSEN,[CHRISTIAN GOTTLIEB] VILHELM BISSEN,1836,1913,1836-1913,human,male,Denmark,sculptor,0,1,dansk billedhugger.,,
peCAB,Q694077,94272014,pf01037045026425,CARL ANTON,BJERKNES,CARL ANTON BJERKNES,1825,1903,1825-1903,human,male,Norway,"physicist, mathematician",1,1,norsk matematiker og fysiker.,,
peWMB,,,,WALBORG MARIE,BJØRN,WALBORG MARIE BJØRN,1861,,1861-,human,female,Norway,boarding house inkeeper,0,1,norsk pensjonatvertinne.,,
